year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,659,
1984,2,644,2,584,659,
1984,3,6298,51,651,659,
1984,4,0,0,655,659,
1985,1,1152,2,356,659,
1985,2,0,0,634,659,
1985,3,6848,35,647,659,
1985,4,3879,31,654,659,
1986,1,0,0,642,659,
1986,2,140,2,655,659,
1986,3,1668,12,653,659,
1986,4,0,0,639,659,
1987,1,0,0,618,659,
1987,2,801,3,541,659,
1987,3,12423,79,656,659,
1987,4,0,0,178,659,
1988,1,1314,3,503,659,
1988,2,17688,69,650,659,
1988,3,614,4,654,659,
1988,4,90,1,452,659,
1989,1,0,0,11,659,
1989,2,21806,92,650,659,
1989,3,54,1,652,659,
1989,4,72,1,649,659,
1990,1,612,2,171,659,
1990,2,30162,134,654,659,
1990,3,684,3,618,659,
1990,4,244,4,643,659,
1991,1,0,0,0,659,
1991,2,23316,133,654,659,
1991,3,135,1,656,659,
1991,4,0,0,512,659,
1992,1,0,0,233,659,
1992,2,34752,141,651,659,
1992,3,0,0,649,659,
1992,4,59,1,656,659,
1993,1,66,1,643,659,
1993,2,2174,13,655,659,
1993,3,0,0,17,659,
1993,4,0,0,652,659,
1994,1,0,0,529,659,
1994,2,2560,24,652,659,
1994,3,8249,37,652,659,
1994,4,590,7,652,659,
1995,1,0,0,656,659,
1995,2,0,0,653,659,
1995,3,579,3,638,659,
1995,4,0,0,655,659,
1996,1,0,0,656,659,
1996,2,0,0,655,659,
1996,3,11773,102,652,659,
1996,4,1050,6,651,659,
1997,1,0,0,637,659,
1997,2,0,0,641,659,
1997,3,2544,25,651,659,
1997,4,0,0,656,659,
1998,1,0,0,3,659,
1998,2,0,0,651,659,
1998,3,132,1,654,659,
1998,4,288,1,656,659,
1999,1,0,0,545,659,
1999,2,95,1,646,659,
1999,3,1181,12,647,659,
1999,4,7350,67,628,659,
2000,1,801,7,656,659,
2000,2,7413,35,618,659,
2000,3,11025,74,651,659,
2000,4,1572,29,656,659,
2001,1,0,0,603,659,
2001,2,4493,51,652,659,
2001,3,4095,57,652,659,
2001,4,4267,70,656,659,
2002,1,0,0,633,659,
2002,2,0,0,651,659,
2002,3,592,8,652,659,
2002,4,716,14,656,659,
2003,1,0,0,656,659,
2003,2,0,0,652,659,
2003,3,4955,81,654,659,
2003,4,0,0,655,659,
2004,1,122,1,643,659,
2004,2,6489,61,652,659,
2004,3,7205,88,653,659,
2004,4,2112,32,656,659,
2005,1,1588,9,656,659,
2005,2,3139,25,652,659,
2005,3,2178,23,650,659,
2005,4,2655,48,656,659,
2006,1,0,0,649,659,
2006,2,1839,12,654,659,
2006,3,424,6,656,659,
2006,4,1166,14,656,659,
2007,1,0,0,641,659,
2007,2,6134,56,655,659,
2007,3,4863,50,651,659,
2007,4,420,4,643,659,
2008,1,8783,27,641,659,
2008,2,13232,145,652,659,
2008,3,8532,63,647,659,
2008,4,21241,132,655,659,
2009,1,3061,35,656,659,
2009,2,7219,95,646,659,
2009,3,25771,202,655,659,
2009,4,9702,105,651,659,
2010,1,0,0,653,659,
2010,2,2645,18,643,659,
2010,3,5418,39,633,659,
2010,4,564,7,647,659,
2011,1,1306,24,656,659,
2011,2,1830,16,646,659,
2011,3,4614,42,654,659,
2011,4,709,8,656,659,
2012,1,347,2,580,659,
2012,2,0,0,566,659,
2012,3,1610,14,649,659,
2012,4,0,0,164,659,
2013,1,9329,103,655,659,
2013,2,17603,117,652,659,
2013,3,2450,19,659,659,
2013,4,1881,19,659,659,
2014,1,1038,5,655,659,
2014,2,5038,67,659,659,
2014,3,7977,64,659,659,
2014,4,695,4,659,659,
2015,1,2461,22,659,659,
2015,2,565,11,659,659,
2015,3,1490,9,657,659,
2015,4,181,2,659,659,
2016,1,7976,14,628,659,
2016,2,738,10,659,659,
2016,3,834,11,659,659,
2016,4,2123,15,659,659,
2017,1,68,1,656,659,
2017,2,2668,18,647,659,
2017,3,2648,24,659,659,
2017,4,1359,20,659,659,
2018,1,4920,38,659,659,
2018,2,7121,52,659,659,
2018,3,5765,52,659,659,
2018,4,1935,17,659,659,
2019,1,1463,4,657,659,
2019,2,4616,58,659,659,
2019,3,1445,16,659,659,
2019,4,640,11,659,659,
2020,1,0,0,656,659,
2020,2,6155,54,659,659,
2020,3,7512,98,657,659,
2020,4,38531,219,659,659,
2021,1,2346,25,659,659,
2021,2,10795,99,657,659,
2021,3,8157,115,659,659,
2021,4,308,6,659,659,
2022,1,704,6,659,659,
2022,2,3288,36,659,659,
2022,3,674,6,659,659,
2022,4,0,0,654,659,
2023,1,122,2,647,659,
2023,2,3228,26,659,659,
2023,3,1748,10,659,659,
2023,4,488,7,659,659,
