year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,954,
1984,2,24748,141,923,954,
1984,3,0,0,893,954,
1984,4,450,1,800,954,
1985,1,1112,6,935,954,
1985,2,13680,74,949,954,
1985,3,3105,16,625,954,
1985,4,10357,74,627,954,
1986,1,0,0,884,954,
1986,2,9651,38,887,954,
1986,3,16241,88,892,954,
1986,4,1014,7,875,954,
1987,1,1515,12,951,954,
1987,2,3206,20,919,954,
1987,3,29071,64,904,954,
1987,4,0,0,921,954,
1988,1,0,0,802,954,
1988,2,293,3,933,954,
1988,3,13557,97,923,954,
1988,4,0,0,135,954,
1989,1,0,0,0,954,
1989,2,2615,15,867,954,
1989,3,41843,295,935,954,
1989,4,333,2,143,954,
1990,1,31136,155,910,954,
1990,2,924,5,944,954,
1990,3,136431,551,936,954,
1990,4,62055,236,756,954,
1991,1,1692,3,174,954,
1991,2,2167,8,926,954,
1991,3,21225,108,942,954,
1991,4,135,1,93,954,
1992,1,0,0,674,954,
1992,2,7943,38,905,954,
1992,3,6131,63,923,954,
1992,4,14657,150,921,954,
1993,1,513,3,876,954,
1993,2,3067,12,940,954,
1993,3,1422,20,946,954,
1993,4,14884,63,953,954,
1994,1,2171,11,952,954,
1994,2,783,1,698,954,
1994,3,11010,42,899,954,
1994,4,17521,92,941,954,
1995,1,2417,8,912,954,
1995,2,2043,6,848,954,
1995,3,6224,58,933,954,
1995,4,1423,12,918,954,
1996,1,1448,17,951,954,
1996,2,11354,50,948,954,
1996,3,1230,13,928,954,
1996,4,0,0,793,954,
1997,1,1310,9,897,954,
1997,2,11255,55,943,954,
1997,3,4211,38,913,954,
1997,4,10235,89,920,954,
1998,1,2250,3,452,954,
1998,2,7070,14,906,954,
1998,3,873,3,727,954,
1998,4,6009,62,949,954,
1999,1,1531,9,895,954,
1999,2,230,1,944,954,
1999,3,87167,527,940,954,
1999,4,53763,515,938,954,
2000,1,2966,23,926,954,
2000,2,878,6,877,954,
2000,3,47869,692,954,954,
2000,4,78677,711,953,954,
2001,1,2633,52,937,954,
2001,2,4549,45,947,954,
2001,3,15793,113,950,954,
2001,4,906,8,890,954,
2002,1,5036,67,936,954,
2002,2,4121,30,952,954,
2002,3,10142,127,944,954,
2002,4,4157,59,952,954,
2003,1,510,3,950,954,
2003,2,222,2,933,954,
2003,3,34713,384,937,954,
2003,4,499,7,954,954,
2004,1,3799,11,921,954,
2004,2,8601,48,948,954,
2004,3,6606,86,935,954,
2004,4,4140,100,952,954,
2005,1,3655,38,945,954,
2005,2,1274,4,774,954,
2005,3,6214,146,953,954,
2005,4,4589,57,947,954,
2006,1,2052,3,863,954,
2006,2,10118,105,950,954,
2006,3,4861,79,949,954,
2006,4,2479,42,938,954,
2007,1,2452,16,941,954,
2007,2,11536,51,939,954,
2007,3,1857,37,954,954,
2007,4,289,4,951,954,
2008,1,568,5,944,954,
2008,2,18125,87,953,954,
2008,3,1186,22,939,954,
2008,4,2011,17,895,954,
2009,1,246,1,922,954,
2009,2,33484,128,933,954,
2009,3,1966,47,933,954,
2009,4,1700,47,954,954,
2010,1,2886,15,941,954,
2010,2,1730,6,912,954,
2010,3,7671,42,944,954,
2010,4,14970,103,941,954,
2011,1,676,7,934,954,
2011,2,2283,14,943,954,
2011,3,10850,92,953,954,
2011,4,1680,23,953,954,
2012,1,2275,10,873,954,
2012,2,3126,16,836,954,
2012,3,2175,25,947,954,
2012,4,1804,18,822,954,
2013,1,338,1,727,954,
2013,2,5626,23,942,954,
2013,3,3287,43,870,954,
2013,4,3639,40,954,954,
2014,1,2038,18,945,954,
2014,2,2304,15,953,954,
2014,3,12728,74,886,954,
2014,4,2864,23,954,954,
2015,1,4761,28,954,954,
2015,2,3246,12,952,954,
2015,3,2577,42,954,954,
2015,4,5350,41,954,954,
2016,1,1927,10,954,954,
2016,2,853,4,905,954,
2016,3,6647,74,953,954,
2016,4,2547,17,802,954,
2017,1,1848,11,943,954,
2017,2,1504,4,898,954,
2017,3,9891,88,945,954,
2017,4,7828,70,954,954,
2018,1,298,2,949,954,
2018,2,19914,64,953,954,
2018,3,7450,79,948,954,
2018,4,5161,46,954,954,
2019,1,1028,16,954,954,
2019,2,23711,60,873,954,
2019,3,13864,117,953,954,
2019,4,2574,11,945,954,
2020,1,4230,27,947,954,
2020,2,2519,17,954,954,
2020,3,19259,151,953,954,
2020,4,6593,77,954,954,
2021,1,1134,4,916,954,
2021,2,2172,9,941,954,
2021,3,12086,75,900,954,
2021,4,806,7,951,954,
2022,1,6597,36,950,954,
2022,2,876,7,949,954,
2022,3,3154,37,953,954,
2022,4,4671,34,954,954,
2023,1,2461,11,935,954,
2023,2,16609,70,950,954,
2023,3,127572,611,954,954,
2023,4,1119,10,954,954,
