year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,5830,
1984,2,166975,396,5352,5830,
1984,3,1400254,4695,5704,5830,
1984,4,26616,315,5241,5830,
1985,1,54911,447,5287,5830,
1985,2,508054,1736,4525,5830,
1985,3,1403580,3777,5425,5830,
1985,4,407929,2408,5777,5830,
1986,1,1418,10,521,5830,
1986,2,479534,1168,5032,5830,
1986,3,755606,2986,5791,5830,
1986,4,99974,1100,5700,5830,
1987,1,0,0,0,5830,
1987,2,150497,697,5506,5830,
1987,3,447233,1927,5580,5830,
1987,4,333188,1218,4984,5830,
1988,1,0,0,0,5830,
1988,2,2430,3,297,5830,
1988,3,186086,697,4864,5830,
1988,4,0,0,0,5830,
1989,1,0,0,0,5830,
1989,2,1054376,3266,5809,5830,
1989,3,16407,59,542,5830,
1989,4,605153,2395,5486,5830,
1990,1,107406,587,5616,5830,
1990,2,2058294,3386,5692,5830,
1990,3,645956,2473,5736,5830,
1990,4,73567,347,4832,5830,
1991,1,38862,52,100,5830,
1991,2,1059088,2714,5579,5830,
1991,3,617754,2626,5705,5830,
1991,4,508463,1931,5640,5830,
1992,1,0,0,6,5830,
1992,2,1914936,3805,5593,5830,
1992,3,344409,1667,5568,5830,
1992,4,14724,59,5243,5830,
1993,1,40407,296,5629,5830,
1993,2,425352,2047,5743,5830,
1993,3,296370,1223,5406,5830,
1993,4,0,0,0,5830,
1994,1,0,0,109,5830,
1994,2,647035,1801,5611,5830,
1994,3,160776,589,1878,5830,
1994,4,70729,434,4649,5830,
1995,1,26955,99,4666,5830,
1995,2,366506,2208,4594,5830,
1995,3,1164644,4052,5785,5830,
1995,4,6288,26,5009,5830,
1996,1,3645,22,904,5830,
1996,2,73486,491,4147,5830,
1996,3,0,0,0,5830,
1996,4,0,0,2331,5830,
1997,1,0,0,635,5830,
1997,2,260046,951,4125,5830,
1997,3,313265,1419,4251,5830,
1997,4,0,0,0,5830,
1998,1,84711,392,5651,5830,
1998,2,73449,283,4007,5830,
1998,3,396651,1839,4138,5830,
1998,4,0,0,0,5830,
1999,1,0,0,0,5830,
1999,2,536423,1827,4422,5830,
1999,3,755703,2844,4763,5830,
1999,4,251569,1108,4826,5830,
2000,1,2124,3,304,5830,
2000,2,415150,1878,5726,5830,
2000,3,680338,3282,5802,5830,
2000,4,12525,66,5758,5830,
2001,1,0,0,4463,5830,
2001,2,318724,1802,5793,5830,
2001,3,130859,826,4435,5830,
2001,4,130778,1448,5773,5830,
2002,1,122622,495,5202,5830,
2002,2,754020,2591,5615,5830,
2002,3,672770,4159,5794,5830,
2002,4,58146,820,5780,5830,
2003,1,9785,107,5695,5830,
2003,2,81227,270,4224,5830,
2003,3,535014,3049,5691,5830,
2003,4,36190,536,5730,5830,
2004,1,69575,635,5612,5830,
2004,2,490102,2606,5679,5830,
2004,3,569976,3368,5704,5830,
2004,4,23385,370,5672,5830,
2005,1,58779,431,5724,5830,
2005,2,318536,1430,5705,5830,
2005,3,353009,3312,5808,5830,
2005,4,34391,271,5339,5830,
2006,1,0,0,3512,5830,
2006,2,614713,3077,5673,5830,
2006,3,709644,3968,5709,5830,
2006,4,503559,2758,5686,5830,
2007,1,66153,450,5764,5830,
2007,2,334731,1741,5767,5830,
2007,3,447439,2353,5731,5830,
2007,4,58934,718,5703,5830,
2008,1,38243,402,5765,5830,
2008,2,256568,810,5309,5830,
2008,3,508654,2757,5775,5830,
2008,4,8345,43,4749,5830,
2009,1,54233,362,5627,5830,
2009,2,1292250,4147,5756,5830,
2009,3,396911,1790,5572,5830,
2009,4,9171,134,5721,5830,
2010,1,3231,32,5183,5830,
2010,2,118460,375,3539,5830,
2010,3,388735,1518,5261,5830,
2010,4,390483,1920,5800,5830,
2011,1,56462,669,5676,5830,
2011,2,460921,2997,5806,5830,
2011,3,958087,2770,5700,5830,
2011,4,131864,1193,5805,5830,
2012,1,87979,929,5438,5830,
2012,2,101102,323,1827,5830,
2012,3,1209287,3748,5587,5830,
2012,4,999,4,969,5830,
2013,1,73808,274,2731,5830,
2013,2,99668,347,1268,5830,
2013,3,495757,2952,5826,5830,
2013,4,131632,1186,5829,5830,
2014,1,51521,524,5782,5830,
2014,2,592463,1976,5829,5830,
2014,3,386061,2754,5830,5830,
2014,4,7768,183,5822,5830,
2015,1,8973,122,5828,5830,
2015,2,432059,2507,5818,5830,
2015,3,560904,2599,5827,5830,
2015,4,162483,1549,5825,5830,
2016,1,32952,309,5689,5830,
