year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,19071,
1984,2,162096,743,17634,19071,
1984,3,2262579,9219,16784,19071,
1984,4,57207,371,4630,19071,
1985,1,7823,107,18870,19071,
1985,2,165765,870,11884,19071,
1985,3,2631118,11184,18937,19071,
1985,4,831719,5576,18079,19071,
1986,1,6339,32,15054,19071,
1986,2,606071,3075,16202,19071,
1986,3,1440491,9104,18977,19071,
1986,4,334327,2820,16925,19071,
1987,1,3639,53,12431,19071,
1987,2,708687,4255,18971,19071,
1987,3,1647914,11293,18917,19071,
1987,4,548734,2828,9251,19071,
1988,1,0,0,0,19071,
1988,2,1328192,4148,13918,19071,
1988,3,1283973,7302,18754,19071,
1988,4,528885,2945,12143,19071,
1989,1,0,0,0,19071,
1989,2,1029464,4720,18553,19071,
1989,3,934199,6536,14013,19071,
1989,4,957251,6515,18415,19071,
1990,1,108573,320,17698,19071,
1990,2,1049102,2759,18698,19071,
1990,3,1598953,11820,18976,19071,
1990,4,511325,3954,18699,19071,
1991,1,0,0,2056,19071,
1991,2,561530,3786,18795,19071,
1991,3,1636716,12221,18976,19071,
1991,4,1697409,7367,16396,19071,
1992,1,0,0,3370,19071,
1992,2,1967228,13833,18743,19071,
1992,3,1990804,13210,18977,19071,
1992,4,277200,2630,16256,19071,
1993,1,33271,578,18948,19071,
1993,2,1389369,6224,18851,19071,
1993,3,1157580,8374,18940,19071,
1993,4,46677,475,12572,19071,
1994,1,0,0,12435,19071,
1994,2,1070707,6010,17308,19071,
1994,3,2117525,10707,18963,19071,
1994,4,297794,3737,18345,19071,
1995,1,4105,29,18977,19071,
1995,2,785343,8455,18972,19071,
1995,3,1830401,9693,18002,19071,
1995,4,253059,3093,17177,19071,
1996,1,384991,1817,14502,19071,
1996,2,423501,3724,18505,19071,
1996,3,893718,5435,12227,19071,
1996,4,13746,146,7879,19071,
1997,1,394,7,12847,19071,
1997,2,670467,4568,18894,19071,
1997,3,1138200,7657,18897,19071,
1997,4,51228,742,12077,19071,
1998,1,131128,670,18892,19071,
1998,2,630031,3877,18896,19071,
1998,3,1412813,8857,18868,19071,
1998,4,187730,1649,12467,19071,
1999,1,165076,210,6113,19071,
1999,2,522596,3619,18976,19071,
1999,3,2665823,11902,18808,19071,
1999,4,784150,8527,18979,19071,
2000,1,111459,407,10407,19071,
2000,2,2112444,13534,18974,19071,
2000,3,2057053,13147,18976,19071,
2000,4,214735,3073,18958,19071,
2001,1,3369,14,17675,19071,
2001,2,488776,4973,18976,19071,
2001,3,2073996,13729,18977,19071,
2001,4,515456,6343,18358,19071,
2002,1,14600,132,18957,19071,
2002,2,1024231,7281,18980,19071,
2002,3,1818570,14412,18979,19071,
2002,4,509420,8189,18979,19071,
2003,1,11018,242,18996,19071,
2003,2,122208,980,18894,19071,
2003,3,1104402,10676,18972,19071,
2003,4,111240,1125,18951,19071,
2004,1,57041,359,18811,19071,
2004,2,894220,7454,18973,19071,
2004,3,1877932,13362,18976,19071,
2004,4,174376,1801,14537,19071,
2005,1,67769,933,18976,19071,
2005,2,1462279,7954,18709,19071,
2005,3,1651361,13411,18977,19071,
2005,4,138028,2255,18672,19071,
2006,1,3731,62,18387,19071,
2006,2,1454436,7437,18973,19071,
2006,3,1792621,12981,18973,19071,
2006,4,1084428,9289,18965,19071,
2007,1,3186,33,18971,19071,
2007,2,905935,7077,18951,19071,
2007,3,1678179,13191,18976,19071,
2007,4,333339,2754,17441,19071,
2008,1,1517,24,18194,19071,
2008,2,1147279,5081,17335,19071,
2008,3,1918124,14640,18979,19071,
2008,4,246015,1896,15709,19071,
2009,1,5475,77,18813,19071,
2009,2,1290767,9038,18977,19071,
2009,3,1187081,11664,18565,19071,
2009,4,102435,2277,18974,19071,
2010,1,15058,175,18802,19071,
2010,2,327696,2510,17677,19071,
2010,3,681850,7066,18862,19071,
2010,4,297758,5427,18977,19071,
2011,1,34943,505,18963,19071,
2011,2,969191,8106,18973,19071,
2011,3,2196386,11730,18963,19071,
2011,4,285515,5016,18976,19071,
2012,1,55221,453,18059,19071,
2012,2,1080558,5283,16918,19071,
2012,3,1826203,8825,18614,19071,
2012,4,108931,1051,11268,19071,
2013,1,78984,239,15293,19071,
2013,2,155154,1331,17215,19071,
2013,3,1118705,8458,19071,19071,
2013,4,108237,2227,19071,19071,
2014,1,17902,159,19071,19071,
2014,2,1653816,6969,18900,19071,
2014,3,738145,7619,19071,19071,
2014,4,46856,1134,18763,19071,
2015,1,12723,194,18998,19071,
2015,2,1661722,10634,19071,19071,
2015,3,2308550,9800,18551,19071,
2015,4,191738,5556,19071,19071,
2016,1,18152,265,19054,19071,
2016,2,530303,5575,19071,19071,
2016,3,1428742,9344,19071,19071,
2016,4,37460,684,18128,19071,
2017,1,30564,402,19016,19071,
2017,2,921138,5079,18963,19071,
2017,3,1643832,10321,19071,19071,
2017,4,357811,6328,19014,19071,
2018,1,8306,59,16848,19071,
2018,2,338902,3624,19071,19071,
2018,3,1921724,11682,19071,19071,
2018,4,354275,6314,19035,19071,
2019,1,13945,398,19071,19071,
2019,2,1201005,6594,19071,19071,
