year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,11203,
1984,2,76636,605,11174,11203,
1984,3,295663,2623,10764,11203,
1984,4,113024,531,4226,11203,
1985,1,81179,629,10763,11203,
1985,2,51554,480,11140,11203,
1985,3,1128128,5166,10900,11203,
1985,4,576241,3964,11055,11203,
1986,1,3900,39,9571,11203,
1986,2,50350,388,11117,11203,
1986,3,812954,5168,10960,11203,
1986,4,101063,1174,10837,11203,
1987,1,4580,41,10351,11203,
1987,2,23235,158,10223,11203,
1987,3,94349,872,10854,11203,
1987,4,0,0,8095,11203,
1988,1,0,0,7848,11203,
1988,2,96301,631,11113,11203,
1988,3,577424,4046,10963,11203,
1988,4,0,0,0,11203,
1989,1,0,0,6,11203,
1989,2,284396,1859,10700,11203,
1989,3,968746,5992,11083,11203,
1989,4,767647,4525,11006,11203,
1990,1,3384,9,2491,11203,
1990,2,103450,539,11001,11203,
1990,3,1291531,6076,10621,11203,
1990,4,1608630,6241,9806,11203,
1991,1,101250,443,6712,11203,
1991,2,344080,2080,11092,11203,
1991,3,140123,1464,11010,11203,
1991,4,41487,350,9834,11203,
1992,1,10146,70,10495,11203,
1992,2,225078,1079,10918,11203,
1992,3,112960,1772,10925,11203,
1992,4,71790,858,11058,11203,
1993,1,81934,602,11070,11203,
1993,2,145142,1120,11089,11203,
1993,3,80462,494,10565,11203,
1993,4,62567,1191,11110,11203,
1994,1,113427,759,11125,11203,
1994,2,63586,353,10724,11203,
1994,3,351786,3294,10439,11203,
1994,4,291791,4130,11167,11203,
1995,1,103280,999,11060,11203,
1995,2,34995,440,10584,11203,
1995,3,59010,947,11075,11203,
1995,4,10476,90,10926,11203,
1996,1,6473,21,11181,11203,
1996,2,30458,270,11050,11203,
1996,3,55531,579,9978,11203,
1996,4,4933,31,9156,11203,
1997,1,1362,6,10400,11203,
1997,2,6179,41,11021,11203,
1997,3,67261,863,11056,11203,
1997,4,4031,39,11161,11203,
1998,1,7107,14,10565,11203,
1998,2,5932,80,11071,11203,
1998,3,230455,1705,10813,11203,
1998,4,160192,1810,10780,11203,
1999,1,15280,190,11123,11203,
1999,2,12955,104,10692,11203,
1999,3,664380,6434,11152,11203,
1999,4,907336,7352,11174,11203,
2000,1,92536,441,10462,11203,
2000,2,133762,1254,11100,11203,
2000,3,544104,4390,11134,11203,
2000,4,145037,2120,11139,11203,
