year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,18973,
1984,2,5570,44,18382,18973,
1984,3,0,0,0,18973,
1984,4,82636,385,18918,18973,
1985,1,0,0,0,18973,
1985,2,37183,253,18301,18973,
1985,3,292284,909,9622,18973,
1985,4,1353256,6145,18132,18973,
1986,1,1523,11,18818,18973,
1986,2,10694,75,18648,18973,
1986,3,1837169,9350,18968,18973,
1986,4,567495,1745,18752,18973,
1987,1,60142,886,18919,18973,
1987,2,1693,16,18228,18973,
1987,3,183166,1980,18914,18973,
1987,4,268785,1171,16669,18973,
1988,1,0,0,3630,18973,
1988,2,1081,5,17027,18973,
1988,3,1359473,6878,18597,18973,
1988,4,55062,266,5815,18973,
1989,1,104382,682,18714,18973,
1989,2,151809,1550,18933,18973,
1989,3,401991,1667,18777,18973,
1989,4,1064078,6179,18959,18973,
1990,1,0,0,15930,18973,
1990,2,21938,210,18937,18973,
1990,3,1774575,7568,18884,18973,
1990,4,1011303,4768,18452,18973,
1991,1,25893,41,7868,18973,
1991,2,52373,484,18824,18973,
1991,3,362628,1916,18747,18973,
1991,4,380853,1449,16326,18973,
1992,1,684,2,7196,18973,
1992,2,8619,17,18651,18973,
1992,3,301943,2440,18859,18973,
1992,4,462137,2272,18426,18973,
1993,1,29432,146,18948,18973,
1993,2,0,0,6149,18973,
1993,3,251100,920,9103,18973,
1993,4,1950691,7130,18069,18973,
1994,1,114503,1167,18971,18973,
1994,2,21483,343,18903,18973,
1994,3,890416,4197,18680,18973,
1994,4,1513934,8198,18973,18973,
1995,1,2507,34,6982,18973,
1995,2,774,8,18592,18973,
1995,3,73072,1040,18958,18973,
1995,4,168156,683,18197,18973,
1996,1,83362,285,18842,18973,
1996,2,17839,109,18835,18973,
1996,3,450080,2071,13913,18973,
1996,4,896454,4044,18823,18973,
1997,1,53713,598,18968,18973,
1997,2,146920,1825,18892,18973,
1997,3,760452,5796,18930,18973,
1997,4,52014,369,18973,18973,
1998,1,0,0,18969,18973,
1998,2,302,1,18955,18973,
1998,3,84394,566,18187,18973,
1998,4,305271,1153,16101,18973,
1999,1,2573,41,18952,18973,
1999,2,1514,8,18841,18973,
1999,3,2340792,10930,18874,18973,
1999,4,1022153,7775,18973,18973,
2000,1,34206,436,18875,18973,
2000,2,14551,224,18134,18973,
2000,3,688500,5502,18865,18973,
2000,4,398727,3460,18858,18973,
2001,1,347,2,18832,18973,
2001,2,4419,31,18759,18973,
2001,3,1965349,10148,18703,18973,
2001,4,1562465,10011,18962,18973,
2002,1,4058,79,18971,18973,
2002,2,14797,219,18870,18973,
2002,3,1496439,11155,18937,18973,
2002,4,971402,10584,18973,18973,
2003,1,0,0,18973,18973,
2003,2,1214,12,18891,18973,
2003,3,233976,2220,18916,18973,
2003,4,198048,2626,18966,18973,
2004,1,8799,141,18953,18973,
2004,2,1622,17,18735,18973,
2004,3,302923,3207,18886,18973,
2004,4,219835,1840,18973,18973,
2005,1,46153,420,18969,18973,
2005,2,1859,30,18773,18973,
2005,3,181327,1608,18714,18973,
2005,4,154203,1282,18874,18973,
2006,1,1250,14,18970,18973,
2006,2,410,3,18725,18973,
2006,3,84924,795,18378,18973,
2006,4,308871,2205,18973,18973,
2007,1,2267,71,18960,18973,
2007,2,18657,162,18112,18973,
2007,3,850790,7217,18964,18973,
2007,4,538720,5342,18938,18973,
2008,1,27,1,18928,18973,
2008,2,54876,1099,18889,18973,
2008,3,2399184,12694,18903,18973,
2008,4,1752555,6426,16766,18973,
2009,1,544505,5642,18973,18973,
2009,2,150313,2331,18917,18973,
2009,3,1281143,9686,18930,18973,
2009,4,757862,7989,18962,18973,
2010,1,144,2,18862,18973,
2010,2,3852,56,18934,18973,
2010,3,693111,5260,18882,18973,
2010,4,274830,3355,18965,18973,
2011,1,19366,442,18966,18973,
2011,2,60071,431,18918,18973,
2011,3,538965,3639,18460,18973,
2011,4,203494,2801,18957,18973,
2012,1,162,1,18741,18973,
2012,2,3062,20,17869,18973,
2012,3,2321117,9007,16050,18973,
2012,4,2405076,11531,18970,18973,
2013,1,143695,949,16978,18973,
2013,2,230846,1852,18968,18973,
2013,3,1535446,7694,18973,18973,
2013,4,361693,4386,18973,18973,
2014,1,17913,161,18970,18973,
2014,2,589,6,18972,18973,
2014,3,294711,1882,18972,18973,
2014,4,8592,187,18973,18973,
2015,1,970,9,18973,18973,
2015,2,1430,20,18973,18973,
2015,3,40814,296,18973,18973,
2015,4,7542,134,18973,18973,
2016,1,8400,19,18966,18973,
2016,2,310,2,18972,18973,
2016,3,65930,489,18973,18973,
2016,4,26921,423,18973,18973,
2017,1,1005,7,18973,18973,
2017,2,1184,10,18973,18973,
2017,3,36030,291,18973,18973,
2017,4,13335,176,18973,18973,
2018,1,879,20,18973,18973,
2018,2,3033,18,18971,18973,
2018,3,30821,242,18973,18973,
2018,4,68503,431,18973,18973,
2019,1,1998,27,18973,18973,
2019,2,281,3,18973,18973,
2019,3,5000,41,18973,18973,
2019,4,5293,80,18973,18973,
2020,1,0,0,18973,18973,
2020,2,4825,39,18972,18973,
2020,3,25936,183,18426,18973,
2020,4,43401,906,18973,18973,
2021,1,556,8,18973,18973,
2021,2,10483,117,18972,18973,
2021,3,317308,2306,18965,18973,
2021,4,54875,1060,18973,18973,
2022,1,2358,41,18973,18973,
2022,2,3415,55,18972,18973,
2022,3,37298,254,18973,18973,
2022,4,30690,322,18973,18973,
2023,1,415,11,18968,18973,
2023,2,655,10,18967,18973,
2023,3,30669,207,18971,18973,
2023,4,12680,154,18973,18973,
