Year,SST
2.003000000000000000e+03,1.225847003745320762e+01
2.004000000000000000e+03,1.153111610486894278e+01
2.005000000000000000e+03,1.172469101123596147e+01
2.006000000000000000e+03,1.211980337078648517e+01
2.007000000000000000e+03,1.128207116104863417e+01
2.008000000000000000e+03,1.029431460674163645e+01
2.009000000000000000e+03,1.084832584269673816e+01
2.010000000000000000e+03,1.161989325842699827e+01
2.011000000000000000e+03,1.116567041198493371e+01
2.012000000000000000e+03,1.081032397003735923e+01
2.013000000000000000e+03,1.125784082397007069e+01
2.014000000000000000e+03,1.123814044943821955e+01
2.015000000000000000e+03,1.395222097378263015e+01
2.016000000000000000e+03,1.253639138576789946e+01
2.017000000000000000e+03,1.199197565543079236e+01
2.018000000000000000e+03,1.193831647940072571e+01
2.019000000000000000e+03,1.228202500000003283e+01
2.020000000000000000e+03,1.153866877637130983e+01
2.021000000000000000e+03,1.106405194805194014e+01
2.022000000000000000e+03,1.127017499999999472e+01
2.023000000000000000e+03,1.108287291666664487e+01
