Year,SST
2.003000000000000000e+03,1.107757584269671725e+01
2.004000000000000000e+03,1.039558707865165843e+01
2.005000000000000000e+03,1.023254775280901185e+01
2.006000000000000000e+03,1.041261235955050779e+01
2.007000000000000000e+03,1.001316011235957149e+01
2.008000000000000000e+03,9.002191011235936458e+00
2.009000000000000000e+03,9.426755617977448765e+00
2.010000000000000000e+03,1.032952808988761717e+01
2.011000000000000000e+03,9.941025280898827532e+00
2.012000000000000000e+03,9.595039325842606104e+00
2.013000000000000000e+03,1.016749999999996135e+01
2.014000000000000000e+03,9.573915730337148489e+00
2.015000000000000000e+03,1.265721067415722700e+01
2.016000000000000000e+03,1.130826685393253683e+01
2.017000000000000000e+03,1.087996910112366322e+01
2.018000000000000000e+03,1.066832303370790669e+01
2.019000000000000000e+03,1.097187812499993242e+01
2.020000000000000000e+03,1.000869936708875230e+01
2.021000000000000000e+03,1.029194805194811124e+01
2.022000000000000000e+03,1.005470624999986740e+01
2.023000000000000000e+03,9.854712500000061937e+00
