Year,SST
2.003000000000000000e+03,1.182353183520586981e+01
2.004000000000000000e+03,1.088965730337076820e+01
2.005000000000000000e+03,1.077061610486890686e+01
2.006000000000000000e+03,1.098249438202236661e+01
2.007000000000000000e+03,1.054766479400751678e+01
2.008000000000000000e+03,9.658011235955029861e+00
2.009000000000000000e+03,1.002969288389516578e+01
2.010000000000000000e+03,1.093156367041206067e+01
2.011000000000000000e+03,1.065505243445687711e+01
2.012000000000000000e+03,9.936132958801579207e+00
2.013000000000000000e+03,1.071287640449440914e+01
2.014000000000000000e+03,1.005829775280909644e+01
2.015000000000000000e+03,1.333868164794006361e+01
2.016000000000000000e+03,1.190312734082380075e+01
2.017000000000000000e+03,1.131456554307129636e+01
2.018000000000000000e+03,1.152497752808994846e+01
2.019000000000000000e+03,1.169777083333326573e+01
2.020000000000000000e+03,1.093644092827008762e+01
2.021000000000000000e+03,1.054401948051952331e+01
2.022000000000000000e+03,1.060027083333335440e+01
2.023000000000000000e+03,1.054220833333351948e+01
