Year,SST
2.003000000000000000e+03,1.259305805243428722e+01
2.004000000000000000e+03,1.196915543071156662e+01
2.005000000000000000e+03,1.225758801498130879e+01
2.006000000000000000e+03,1.244500374531833131e+01
2.007000000000000000e+03,1.166294569288402272e+01
2.008000000000000000e+03,1.073318539325839538e+01
2.009000000000000000e+03,1.144530898876411129e+01
2.010000000000000000e+03,1.200564419475659861e+01
2.011000000000000000e+03,1.148908801498112098e+01
2.012000000000000000e+03,1.115732022471917162e+01
2.013000000000000000e+03,1.196360299625473544e+01
2.014000000000000000e+03,1.165385955056183320e+01
2.015000000000000000e+03,1.443237453183525076e+01
2.016000000000000000e+03,1.300009176029965374e+01
2.017000000000000000e+03,1.199756741573031604e+01
2.018000000000000000e+03,1.286011423220975303e+01
2.019000000000000000e+03,1.294519375000010086e+01
2.020000000000000000e+03,1.216838607594945643e+01
2.021000000000000000e+03,1.127793722943732746e+01
2.022000000000000000e+03,1.174551874999991696e+01
2.023000000000000000e+03,1.170913958333335358e+01
