Year,SST
2.003000000000000000e+03,1.002890449438194764e+01
2.004000000000000000e+03,9.112370786516805765e+00
2.005000000000000000e+03,8.907730337078703542e+00
2.006000000000000000e+03,9.538898876404459770e+00
2.007000000000000000e+03,8.874022471910109289e+00
2.008000000000000000e+03,8.110792134831399380e+00
2.009000000000000000e+03,8.171741573033727946e+00
2.010000000000000000e+03,9.226646067415799735e+00
2.011000000000000000e+03,8.673443820224804313e+00
2.012000000000000000e+03,8.291792134831439398e+00
2.013000000000000000e+03,9.009932584269620293e+00
2.014000000000000000e+03,7.969365168539297883e+00
2.015000000000000000e+03,1.109042134831463500e+01
2.016000000000000000e+03,1.019121910112352225e+01
2.017000000000000000e+03,9.254398876404536622e+00
2.018000000000000000e+03,9.477893258427002365e+00
2.019000000000000000e+03,9.714712499999961892e+00
2.020000000000000000e+03,9.116784810126603134e+00
2.021000000000000000e+03,8.999922077922178687e+00
2.022000000000000000e+03,8.835293750000118962e+00
2.023000000000000000e+03,8.755875000000060027e+00
