Year,SST
2.003000000000000000e+03,9.579146067415706511e+00
2.004000000000000000e+03,8.569101123595544323e+00
2.005000000000000000e+03,8.496490636704038479e+00
2.006000000000000000e+03,9.030917602996282767e+00
2.007000000000000000e+03,8.456985018726527414e+00
2.008000000000000000e+03,7.752719101123489054e+00
2.009000000000000000e+03,7.833543071161045646e+00
2.010000000000000000e+03,8.776037453183619164e+00
2.011000000000000000e+03,8.287041198501924555e+00
2.012000000000000000e+03,7.980123595505517642e+00
2.013000000000000000e+03,8.606430711610414619e+00
2.014000000000000000e+03,7.685775280898837991e+00
2.015000000000000000e+03,1.035428838951310127e+01
2.016000000000000000e+03,9.598157303370783211e+00
2.017000000000000000e+03,8.630082397003889128e+00
2.018000000000000000e+03,8.976247191011282212e+00
2.019000000000000000e+03,9.143504166666616584e+00
2.020000000000000000e+03,8.690004219409445341e+00
2.021000000000000000e+03,8.529051948051971976e+00
2.022000000000000000e+03,8.364774999999951888e+00
2.023000000000000000e+03,8.336604166666745641e+00
